model,split,age_group,rep,sensitivity,specificity,npv
CDR,test,>=2,35,0.9821428571428571,0.5050922978994271,0.9996850393700787
CDR,test,>=2,36,0.9642857142857143,0.5025461489497136,0.9993670886075949
CDR,test,>=2,37,0.9464285714285714,0.5023870146403565,0.9990506329113924
CDR,test,>=2,38,0.9821428571428571,0.50493316359007,0.9996849401386263
CDR,test,>=2,39,0.9821428571428571,0.5020687460216423,0.9996831432192649
CDR,test,>=2,40,0.9642857142857143,0.5103437301082113,0.9993767528825179
CDR,test,>=2,41,0.9642857142857143,0.5090706556333545,0.9993751952514839
CDR,test,>=2,42,0.9642857142857143,0.5025461489497136,0.9993670886075949
CDR,test,>=2,43,0.9464285714285714,0.5014322087842139,0.9990488268864933
CDR,test,>=2,44,0.9285714285714286,0.5089115213239974,0.9987507807620237
CDR,test,>=2,45,0.9642857142857143,0.5038192234245703,0.9993686868686869
CDR,test,>=2,46,0.9285714285714286,0.5100254614894971,0.9987535057650359
CDR,test,>=2,47,0.9464285714285714,0.5079567154678549,0.9990610328638497
CDR,test,>=2,48,0.9642857142857143,0.5101845957988542,0.9993765586034913
CDR,test,>=2,49,0.9821428571428571,0.508274984086569,0.9996870109546165
